===========================================================================
  DDPG — FourRoomMazeEnv
  obs_dim=125  act_dim=2  device=cpu
  epochs=100  steps/epoch=4000  total=400,000
  start_steps=5000  update_after=1000  batch=256
  γ=0.98  ρ=0.995  σ_noise=0.1
===========================================================================
  Epoch |   Steps |   Time |   TrRet |  TrLen | TrSucc | EvSucc |  CrLoss |  AcLoss
     56 | 224,000 | 1074.1s |  -8.985 |  283.3 |  0.533 |  0.000 |  0.0006 | -0.9681
     57 | 228,000 | 1093.1s |  +1.021 |  297.5 |  0.538 |  0.100 |  0.0006 | -0.9763
     58 | 232,000 | 1111.9s |  +0.459 |  243.9 |  0.625 |  0.500 |  0.0005 | -0.9977
     59 | 236,000 | 1130.5s |  +0.084 |  307.2 |  0.429 |  0.600 |  0.0005 | -0.9878
     60 | 240,000 | 1149.0s |  -0.415 |  239.2 |  0.588 |  0.100 |  0.0005 | -0.9978
     61 | 244,000 | 1168.0s |  -1.035 |  188.8 |  0.700 |  0.300 |  0.0005 | -1.0041
     62 | 248,000 | 1186.8s |  +1.010 |  151.8 |  0.760 |  0.400 |  0.0005 | -0.9989
     63 | 252,000 | 1205.5s |  -0.126 |  269.2 |  0.562 |  0.200 |  0.0005 | -0.9939
     64 | 256,000 | 1224.3s |  -6.666 |  179.0 |  0.783 |  0.500 |  0.0006 | -0.9934
     65 | 260,000 | 1243.0s |  -5.961 |  297.2 |  0.500 |  0.200 |  0.0006 | -0.9830
     66 | 264,000 | 1261.8s |  +0.310 |  160.5 |  0.769 |  0.400 |  0.0006 | -0.9907
     67 | 268,000 | 1280.8s |  +0.774 |  168.5 |  0.720 |  0.500 |  0.0006 | -1.0228
     68 | 272,000 | 1300.7s | -11.324 |  189.5 |  0.684 |  0.600 |  0.0006 | -1.0487
     69 | 276,000 | 1320.0s |  -0.430 |  169.9 |  0.808 |  0.400 |  0.0006 | -1.0508
     70 | 280,000 | 1339.1s |  -2.858 |  265.4 |  0.571 |  0.500 |  0.0007 | -1.0570
     71 | 284,000 | 1357.8s |  +1.123 |  190.9 |  0.667 |  0.600 |  0.0006 | -1.0534
     72 | 288,000 | 1378.3s |  +0.842 |  147.5 |  0.778 |  0.400 |  0.0006 | -1.0533
     73 | 292,000 | 1399.7s |  -3.469 |  138.0 |  0.806 |  0.400 |  0.0005 | -1.0532
     74 | 296,000 | 1419.7s |  -0.835 |  190.0 |  0.762 |  0.500 |  0.0006 | -1.0617
     75 | 300,000 | 1438.5s |  -6.925 |  237.6 |  0.625 |  0.400 |  0.0007 | -1.0834
     76 | 304,000 | 1457.2s |  +0.196 |  185.3 |  0.727 |  0.600 |  0.0007 | -1.0894
     77 | 308,000 | 1475.7s |  -0.081 |  148.4 |  0.889 |  0.600 |  0.0008 | -1.1127
     78 | 312,000 | 1494.4s |  -0.120 |  273.6 |  0.571 |  0.200 |  0.0008 | -1.1156
     79 | 316,000 | 1513.2s |  -0.453 |  174.4 |  0.783 |  0.600 |  0.0007 | -1.0942
     80 | 320,000 | 1531.8s |  -1.734 |  201.3 |  0.650 |  0.600 |  0.0007 | -1.0927
     81 | 324,000 | 1550.5s |  +0.674 |  276.1 |  0.500 |  0.600 |  0.0007 | -1.0976
     82 | 328,000 | 1568.9s |  -3.445 |  335.8 |  0.615 |  0.300 |  0.0007 | -1.0939
     83 | 332,000 | 1587.7s |  -1.289 |  244.0 |  0.625 |  0.400 |  0.0006 | -1.0840
     84 | 336,000 | 1606.5s |  +0.083 |  148.9 |  0.760 |  0.500 |  0.0006 | -1.0607
     85 | 340,000 | 1626.1s |  +0.936 |  223.2 |  0.667 |  0.600 |  0.0006 | -1.0374
     86 | 344,000 | 1644.7s |  -0.493 |  120.7 |  0.946 |  0.300 |  0.0007 | -1.0281
     87 | 348,000 | 1663.4s |  +0.105 |  107.2 |  0.917 |  0.500 |  0.0006 | -1.0383
     88 | 352,000 | 1682.0s |  -0.159 |  152.2 |  0.846 |  0.600 |  0.0006 | -1.0504
     89 | 356,000 | 1700.5s |  +1.329 |  109.9 |  0.853 |  0.500 |  0.0006 | -1.0467
     90 | 360,000 | 1719.3s |  +1.271 |   92.4 |  0.913 |  0.900 |  0.0006 | -1.0467
     91 | 364,000 | 1737.6s |  -0.287 |  105.7 |  0.865 |  0.400 |  0.0006 | -1.0645
     92 | 368,000 | 1756.3s |  +1.441 |   66.0 |  0.922 |  0.500 |  0.0005 | -1.0562
     93 | 372,000 | 1774.9s |  +1.399 |  104.6 |  0.895 |  0.700 |  0.0005 | -1.0568
     94 | 376,000 | 1793.3s |  -4.051 |  189.4 |  0.700 |  0.600 |  0.0006 | -1.0678
     95 | 380,000 | 1814.4s |  -1.240 |  128.5 |  0.879 |  0.800 |  0.0006 | -1.0632
     96 | 384,000 | 1832.8s |  -1.956 |  128.2 |  0.793 |  0.700 |  0.0006 | -1.0617
     97 | 388,000 | 1851.3s |  -7.729 |  138.3 |  0.767 |  0.700 |  0.0006 | -1.0671
     98 | 392,000 | 1869.7s |  +1.023 |  160.9 |  0.769 |  0.600 |  0.0006 | -1.0710
  [rec] GIFs → results/epoch_0099/
     99 | 396,000 | 1888.3s |  +0.415 |  120.7 |  0.818 |  1.000 |  0.0006 | -1.0679
  [rec] GIFs → results/epoch_0100/
    100 | 400,000 | 1954.3s |  -0.199 |   93.1 |  0.930 |  0.600 |  0.0006 | -1.0756

  Training complete.  Best eval success rate: 1.000
